matchYear,matchID,leftTeam,leftScore,rightTeam,rightScore,refName,leftPenalties,rightPenalties
2011,923,Stormers,10,Crusaders,29,Craig Joubert,10,16
2011,924,Reds,18,Crusaders,13,Bryce Lawrence,6,7
2012,200,Blues,18,Crusaders,19,Chris Pollock,9,12
2012,201,Brumbies,19,Force,17,Bryce Lawrence,11,10
2012,202,Bulls,18,Sharks,13,Jonathon Kaplan,11,13
2012,203,Chiefs,19,Highlanders,23,Jonathon White,10,12
2012,204,NSW Waratahs,21,Reds,25,Jayco Peyper,12,9
2012,205,Stormers,39,Hurricanes,26,Marius Jonker,9,21
2012,206,Lions,27,Cheetahs,25,Mark Lawrence,12,17
2012,207,Chiefs,29,Blues,14,Keith Brown,15,5
2012,208,Rebels,19,NSW Waratahs,35,Bryce Lawrence,10,15
2012,209,Lions,28,Hurricanes,30,Steve Walsh,7,7
2012,210,Highlanders,27,Crusaders,24,Jayco Peyper,11,7
2012,211,Reds,35,Force,20,Ian Smith,10,13
2012,212,Cheetahs,19,Bulls,51,Craig Joubert,7,17
2012,213,Stormers,15,Sharks,12,Mark Lawrence,7,15
2012,214,Crusaders,19,Chiefs,24,Garratt Williamson,11,11
2012,215,Force,19,Hurricanes,46,Jaco Peyper,4,13
2012,216,Brumbies,24,Cheetahs,23,Keith Brown,10,12
2012,217,Highlanders,18,NSW Waratahs,17,Bryce Lawrence,8,13
2012,218,Reds,11,Rebels,6,Ian Smith,12,11
2012,219,Sharks,32,Lions,20,Mark Lawrence,13,9
2012,220,Bulls,23,Blues,29,Steve Walsh,13,17
2012,221,Chiefs,29,Brumbies,22,Ian Smith,9,10
2012,222,Stormers,27,Blues,17,Glen Jackson,10,11
2012,223,Hurricanes,17,Highlanders,19,Bryce Lawrence,14,11
2012,224,NSW Waratahs,20,Force,21,Jonathon White,10,13
2012,225,Sharks,27,Reds,22,Jonathon Kaplan,10,11
2012,226,Rebels,26,Cheetahs,33,Garratt Williamson,8,11
2012,227,Blues,25,Hurricanes,26,Steve Walsh,3,11
2012,228,Rebels,30,Force,29,Marius Jonker,10,12
2012,229,NSW Waratahs,34,Sharks,30,Chris Pollock,13,6
2012,230,Crusaders,28,Cheetahs,21,Keith Brown,7,11
2012,231,Brumbies,33,Highlanders,26,Lourens van der merwe,10,12
2012,232,Bulls,61,Reds,8,Jonathon Kaplan,9,9
2012,233,Lions,19,Stormers,24,Glen Jackson,8,12
2012,234,Highlanders,43,Rebels,12,Marius Jonker,9,10
2012,235,Hurricanes,38,Cheetahs,47,Ian Smith,10,7
2012,236,Chiefs,30,NSW Waratahs,13,Michael Fraser,13,8
2012,237,Brumbies,26,Sharks,29,Keith Brown,9,6
2012,238,Force,45,Reds,19,Garratt Williamson,11,11
2012,239,Lions,13,Crusaders,23,Jonathan Kaplan,10,11
2012,240,Stormers,20,Bulls,17,Craig Joubert,9,16
2012,241,Rebels,34,Blues,23,Bryce Lawrence,10,10
2012,242,Hurricanes,42,Sharks,18,Glen Jackson,15,13
2012,243,Reds,20,Brumbies,13,Steve Walsh,7,9
2012,244,Force,12,Chiefs,20,Jonathon White,8,14
2012,245,Highlanders,6,Stormers,21,Chris Pollock,9,11
2012,246,Cheetahs,26,Lions,5,Mark Lawrence,12,7
2012,247,Bulls,32,Crusaders,30,Jaco Peyper,13,12
2012,248,Blues,23,Sharks,29,Steve Walsh,4,9
2012,249,Force,18,NSW Waratahs,23,Glen Jackson,14,13
